价格 价差 真实标签 预测标签 原仓位 预测仓位
5476.40 3.00 2.00 2.00 1.00 1.00
5479.40 2.60 2.00 2.00 1.00 1.00
5482.00 7.80 2.00 -2.00 1.00 -1.00
5489.80 2.60 -2.00 -2.00 -1.00 -1.00
5492.40 -3.20 -2.00 0.00 -1.00 0.00
5489.20 -2.00 -2.00 0.00 -1.00 0.00
5487.20 0.80 -2.00 2.00 -1.00 1.00
5488.00 -5.00 -2.00 -1.00 -1.00 -0.50
5483.00 1.80 0.00 -1.00 0.00 -0.50
5484.80 5.00 -2.00 0.00 -1.00 0.00
5489.80 -6.00 -2.00 1.00 -1.00 0.50
5483.80 0.20 -2.00 -2.00 -1.00 -1.00
5484.00 -2.00 -2.00 0.00 -1.00 0.00
5482.00 3.80 -1.00 2.00 -0.50 1.00
5485.80 -0.20 -2.00 1.00 -1.00 0.50
5485.60 -0.60 -2.00 -2.00 -1.00 -1.00
5485.00 -3.60 -2.00 2.00 -1.00 1.00
5481.40 -3.60 1.00 0.00 0.50 0.00
5477.80 0.00 2.00 -2.00 1.00 -1.00
5477.80 0.80 2.00 1.00 1.00 0.50
5478.60 1.80 2.00 -2.00 1.00 -1.00
5480.40 -2.40 2.00 1.00 1.00 0.50
5478.00 0.20 2.00 -2.00 1.00 -1.00
5478.20 1.80 2.00 0.00 1.00 0.00
5480.00 -0.80 2.00 -1.00 1.00 -0.50
5479.20 3.40 2.00 1.00 1.00 0.50
5482.60 2.40 2.00 1.00 1.00 0.50
5485.00 7.40 2.00 1.00 1.00 0.50
5492.40 2.40 -2.00 2.00 -1.00 1.00
5494.80 2.80 -2.00 1.00 -1.00 0.50
5497.60 -0.40 -2.00 1.00 -1.00 0.50
5497.20 -3.20 -2.00 2.00 -1.00 1.00
5494.00 -5.20 -2.00 -1.00 -1.00 -0.50
5488.80 -5.80 -2.00 0.00 -1.00 0.00
5483.00 -1.00 1.00 0.00 0.50 0.00
5482.00 4.40 2.00 2.00 1.00 1.00
5486.40 -1.60 0.00 2.00 0.00 1.00
5484.80 2.80 0.00 -2.00 0.00 -1.00
5487.60 0.00 -2.00 2.00 -1.00 1.00
5487.60 1.40 -2.00 -1.00 -1.00 -0.50
5489.00 1.80 -2.00 -2.00 -1.00 -1.00
5490.80 -3.20 -2.00 2.00 -1.00 1.00
5487.60 -2.40 -2.00 -2.00 -1.00 -1.00
5485.20 1.00 0.00 -2.00 0.00 -1.00
5486.20 -9.00 -1.00 0.00 -0.50 0.00
5477.20 5.40 2.00 0.00 1.00 0.00
5482.60 -0.60 2.00 1.00 1.00 0.50
5482.00 0.80 2.00 -1.00 1.00 -0.50
5482.80 2.20 2.00 0.00 1.00 0.00
5485.00 1.40 2.00 0.00 1.00 0.00
5486.40 -2.80 2.00 0.00 1.00 0.00
5483.60 4.00 2.00 2.00 1.00 1.00
5487.60 -0.20 2.00 -1.00 1.00 -0.50
5487.40 -3.40 2.00 0.00 1.00 0.00
5484.00 2.40 2.00 -1.00 1.00 -0.50
5486.40 4.40 2.00 1.00 1.00 0.50
5490.80 -3.80 2.00 2.00 1.00 1.00
5487.00 7.40 2.00 1.00 1.00 0.50
5494.40 3.80 2.00 -2.00 1.00 -1.00
5498.20 4.80 1.00 -2.00 0.50 -1.00
5503.00 -2.80 -2.00 -2.00 -1.00 -1.00
5500.20 -0.20 0.00 1.00 0.00 0.50
5500.00 3.00 -2.00 1.00 -1.00 0.50
5503.00 5.40 -2.00 1.00 -1.00 0.50
5508.40 -5.40 -2.00 2.00 -1.00 1.00
5503.00 -1.60 -2.00 1.00 -1.00 0.50
5501.40 -0.80 -2.00 0.00 -1.00 0.00
5500.60 -1.60 -2.00 2.00 -1.00 1.00
5499.00 3.80 -2.00 1.00 -1.00 0.50
5502.80 -6.20 -2.00 1.00 -1.00 0.50
5496.60 -2.80 -2.00 -1.00 -1.00 -0.50
5493.80 0.60 -2.00 -2.00 -1.00 -1.00
5494.40 -2.20 -2.00 0.00 -1.00 0.00
5492.20 0.20 -2.00 1.00 -1.00 0.50
5492.40 -12.20 -2.00 -2.00 -1.00 -1.00
5480.20 -3.20 -2.00 1.00 -1.00 0.50
5477.00 -6.00 -2.00 2.00 -1.00 1.00
5471.00 -6.40 -2.00 0.00 -1.00 0.00
5464.60 4.00 -2.00 -1.00 -1.00 -0.50
5468.60 -2.80 -2.00 -2.00 -1.00 -1.00
5465.80 -0.20 -2.00 -2.00 -1.00 -1.00
5465.60 -9.80 -2.00 0.00 -1.00 0.00
5455.80 1.00 -2.00 -2.00 -1.00 -1.00
5456.80 -5.00 -2.00 -2.00 -1.00 -1.00
5451.80 6.40 -2.00 -1.00 -1.00 -0.50
5458.20 -3.40 -2.00 -1.00 -1.00 -0.50
5454.80 -3.40 -2.00 0.00 -1.00 0.00
5451.40 -9.40 -2.00 -2.00 -1.00 -1.00
5442.00 0.80 -1.00 -1.00 -0.50 -0.50
5442.80 0.20 -2.00 0.00 -1.00 0.00
5443.00 -6.00 -2.00 1.00 -1.00 0.50
5437.00 7.20 0.00 1.00 0.00 0.50
5444.20 2.20 -2.00 -1.00 -1.00 -0.50
5446.40 -0.40 -2.00 -2.00 -1.00 -1.00
5446.00 -11.60 -2.00 -1.00 -1.00 -0.50
5434.40 7.40 -2.00 0.00 -1.00 0.00
5441.80 -4.40 -2.00 -2.00 -1.00 -1.00
5437.40 5.60 -2.00 1.00 -1.00 0.50
5443.00 -0.60 -2.00 -2.00 -1.00 -1.00
5442.40 -4.40 -2.00 1.00 -1.00 0.50
5438.00 -11.60 -2.00 2.00 -1.00 1.00
5426.40 -1.40 2.00 2.00 1.00 1.00
5425.00 3.40 2.00 2.00 1.00 1.00
5428.40 1.60 0.00 1.00 0.00 0.50
5430.00 -7.20 -1.00 2.00 -0.50 1.00
5422.80 3.40 2.00 -2.00 1.00 -1.00
5426.20 -1.40 0.00 -2.00 0.00 -1.00
5424.80 4.60 1.00 0.00 0.50 0.00
5429.40 7.20 -2.00 0.00 -1.00 0.00
5436.60 -3.00 -2.00 0.00 -1.00 0.00
5433.60 -3.60 -2.00 1.00 -1.00 0.50
5430.00 2.20 -2.00 1.00 -1.00 0.50
5432.20 -2.40 -2.00 0.00 -1.00 0.00
5429.80 -3.60 -2.00 2.00 -1.00 1.00
5426.20 3.80 -2.00 2.00 -1.00 1.00
5430.00 -5.20 -2.00 -1.00 -1.00 -0.50
5424.80 -4.80 -2.00 -2.00 -1.00 -1.00
5420.00 -4.40 2.00 2.00 1.00 1.00
5415.60 -2.40 2.00 2.00 1.00 1.00
5413.20 6.60 2.00 2.00 1.00 1.00
5419.80 0.20 2.00 1.00 1.00 0.50
5420.00 1.40 2.00 0.00 1.00 0.00
5421.40 2.40 1.00 1.00 0.50 0.50
5423.80 3.60 -1.00 2.00 -0.50 1.00
5427.40 -1.00 -2.00 -2.00 -1.00 -1.00
5426.40 -4.00 -2.00 1.00 -1.00 0.50
5422.40 2.00 -2.00 1.00 -1.00 0.50
5424.40 3.60 -2.00 2.00 -1.00 1.00
5428.00 0.00 -2.00 2.00 -1.00 1.00
5428.00 -4.60 -2.00 -2.00 -1.00 -1.00
5423.40 -4.20 -2.00 2.00 -1.00 1.00
5419.20 5.20 -1.00 -2.00 -0.50 -1.00
5424.40 -1.80 -2.00 -1.00 -1.00 -0.50
5422.60 -8.20 -2.00 2.00 -1.00 1.00
5414.40 1.80 2.00 2.00 1.00 1.00
5416.20 -0.20 1.00 -1.00 0.50 -0.50
5416.00 -5.40 1.00 0.00 0.50 0.00
5410.60 1.20 2.00 0.00 1.00 0.00
5411.80 7.00 2.00 -1.00 1.00 -0.50
5418.80 1.60 0.00 -2.00 0.00 -1.00
5420.40 0.20 -1.00 2.00 -0.50 1.00
5420.60 -3.40 -1.00 2.00 -0.50 1.00
5417.20 -0.80 1.00 0.00 0.50 0.00
5416.40 4.40 2.00 2.00 1.00 1.00
5420.80 -0.80 0.00 0.00 0.00 0.00
5420.00 -0.40 1.00 -1.00 0.50 -0.50
5419.60 0.40 2.00 1.00 1.00 0.50
5420.00 -3.00 2.00 2.00 1.00 1.00
5417.00 -0.40 2.00 0.00 1.00 0.00
5416.60 2.80 2.00 -2.00 1.00 -1.00
5419.40 -1.20 2.00 -2.00 1.00 -1.00
5418.20 -2.40 2.00 -1.00 1.00 -0.50
5415.80 2.20 2.00 -1.00 1.00 -0.50
5418.00 1.60 2.00 -2.00 1.00 -1.00
5419.60 4.20 2.00 0.00 1.00 0.00
5423.80 1.40 2.00 0.00 1.00 0.00
5425.20 4.00 2.00 -2.00 1.00 -1.00
5429.20 3.80 2.00 -2.00 1.00 -1.00
5433.00 -3.40 2.00 -2.00 1.00 -1.00
5429.60 3.40 2.00 2.00 1.00 1.00
5433.00 -1.60 2.00 0.00 1.00 0.00
5431.40 2.60 2.00 0.00 1.00 0.00
5434.00 -4.40 2.00 0.00 1.00 0.00
5429.60 10.20 2.00 -2.00 1.00 -1.00
5439.80 1.80 2.00 2.00 1.00 1.00
5441.60 6.40 2.00 1.00 1.00 0.50
5448.00 -1.60 1.00 -2.00 0.50 -1.00
5446.40 -1.20 2.00 1.00 1.00 0.50
5445.20 4.80 2.00 1.00 1.00 0.50
5450.00 -1.40 2.00 -2.00 1.00 -1.00
5448.60 -3.00 2.00 2.00 1.00 1.00
5445.60 -2.00 2.00 -1.00 1.00 -0.50
5443.60 5.40 2.00 2.00 1.00 1.00
5449.00 2.00 2.00 1.00 1.00 0.50
5451.00 4.80 2.00 2.00 1.00 1.00
5455.80 -5.80 0.00 -2.00 0.00 -1.00
5450.00 4.20 2.00 -2.00 1.00 -1.00
5454.20 -0.80 2.00 -1.00 1.00 -0.50
5453.40 5.40 2.00 0.00 1.00 0.00
5458.80 -2.40 1.00 2.00 0.50 1.00
5456.40 2.00 2.00 -1.00 1.00 -0.50
5458.40 1.80 2.00 -2.00 1.00 -1.00
5460.20 -1.20 2.00 -1.00 1.00 -0.50
5459.00 1.00 2.00 -2.00 1.00 -1.00
5460.00 -2.80 2.00 2.00 1.00 1.00
5457.20 -2.80 2.00 0.00 1.00 0.00
5454.40 2.40 2.00 2.00 1.00 1.00
5456.80 3.00 2.00 -2.00 1.00 -1.00
5459.80 -0.40 2.00 -2.00 1.00 -1.00
5459.40 9.00 2.00 2.00 1.00 1.00
5468.40 -0.80 0.00 -2.00 0.00 -1.00
5467.60 -0.60 0.00 -2.00 0.00 -1.00
5467.00 3.20 0.00 0.00 0.00 0.00
5470.20 1.40 -2.00 0.00 -1.00 0.00
5471.60 -1.40 -2.00 -2.00 -1.00 -1.00
5470.20 -2.20 -2.00 1.00 -1.00 0.50
5468.00 -0.20 0.00 -2.00 0.00 -1.00
5467.80 3.60 0.00 0.00 0.00 0.00
5471.40 -1.20 -2.00 2.00 -1.00 1.00
5470.20 -5.20 -1.00 -2.00 -0.50 -1.00
5465.00 -0.60 2.00 0.00 1.00 0.00
5464.40 -3.40 2.00 -1.00 1.00 -0.50
5461.00 2.80 2.00 0.00 1.00 0.00
5463.80 -1.00 2.00 2.00 1.00 1.00
5462.80 4.20 2.00 -2.00 1.00 -1.00
5467.00 2.20 2.00 2.00 1.00 1.00
5469.20 1.60 1.00 -1.00 0.50 -0.50
5470.80 -2.40 0.00 1.00 0.00 0.50
5468.40 4.00 2.00 0.00 1.00 0.00
5472.40 0.60 -1.00 2.00 -0.50 1.00
5473.00 2.00 -1.00 1.00 -0.50 0.50
5475.00 -2.40 -2.00 1.00 -1.00 0.50
5472.60 3.80 -1.00 -1.00 -0.50 -0.50
5476.40 -5.00 -2.00 -1.00 -1.00 -0.50
5471.40 -4.40 0.00 -2.00 0.00 -1.00
5467.00 -2.60 2.00 1.00 1.00 0.50
5464.40 2.60 2.00 1.00 1.00 0.50
5467.00 3.40 2.00 1.00 1.00 0.50
5470.40 -2.60 2.00 0.00 1.00 0.00
5467.80 3.40 2.00 -2.00 1.00 -1.00
5471.20 1.00 2.00 -1.00 1.00 -0.50
5472.20 0.80 2.00 -2.00 1.00 -1.00
5473.00 -1.80 2.00 -2.00 1.00 -1.00
5471.20 0.60 2.00 1.00 1.00 0.50
5471.80 -1.80 2.00 0.00 1.00 0.00
5470.00 4.60 2.00 -2.00 1.00 -1.00
5474.60 2.20 2.00 2.00 1.00 1.00
5476.80 -1.80 2.00 1.00 1.00 0.50
5475.00 4.80 2.00 -2.00 1.00 -1.00
5479.80 -0.60 1.00 -2.00 0.50 -1.00
5479.20 3.00 2.00 -2.00 1.00 -1.00
5482.20 -1.80 0.00 -1.00 0.00 -0.50
5480.40 0.80 1.00 0.00 0.50 0.00
5481.20 2.60 1.00 -1.00 0.50 -0.50
5483.80 -2.40 -1.00 0.00 -0.50 0.00
5481.40 2.40 1.00 -2.00 0.50 -1.00
5483.80 -0.80 0.00 0.00 0.00 0.00
5483.00 -5.40 0.00 -2.00 0.00 -1.00
5477.60 2.80 2.00 2.00 1.00 1.00
5480.40 3.00 1.00 0.00 0.50 0.00
5483.40 0.40 -1.00 0.00 -0.50 0.00
5483.80 0.60 -2.00 2.00 -1.00 1.00
5484.40 -1.20 -2.00 0.00 -1.00 0.00
5483.20 -3.00 -2.00 1.00 -1.00 0.50
5480.20 4.00 0.00 -1.00 0.00 -0.50
5484.20 0.20 -2.00 2.00 -1.00 1.00
5484.40 -0.60 -2.00 1.00 -1.00 0.50
5483.80 2.00 -2.00 1.00 -1.00 0.50
5485.80 -1.40 -2.00 -2.00 -1.00 -1.00
5484.40 -5.00 -2.00 1.00 -1.00 0.50
5479.40 -8.00 -2.00 -2.00 -1.00 -1.00
5471.40 4.00 1.00 0.00 0.50 0.00
5475.40 -0.40 -2.00 -1.00 -1.00 -0.50
5475.00 0.80 -2.00 0.00 -1.00 0.00
5475.80 5.20 -2.00 1.00 -1.00 0.50
5481.00 1.80 -2.00 -2.00 -1.00 -1.00
5482.80 -4.40 -2.00 2.00 -1.00 1.00
5478.40 -0.20 -2.00 1.00 -1.00 0.50
5478.20 -1.60 -2.00 -1.00 -1.00 -0.50
5476.60 -1.60 -2.00 1.00 -1.00 0.50
5475.00 -8.40 -2.00 1.00 -1.00 0.50
5466.60 -5.80 -2.00 2.00 -1.00 1.00
5460.80 -0.60 -2.00 1.00 -1.00 0.50
5460.20 0.00 -2.00 0.00 -1.00 0.00
5460.20 -8.20 -2.00 -1.00 -1.00 -0.50
5452.00 -5.20 -2.00 -2.00 -1.00 -1.00
5446.80 5.60 -1.00 -2.00 -0.50 -1.00
5452.40 1.20 -2.00 2.00 -1.00 1.00
5453.60 -6.00 -2.00 0.00 -1.00 0.00
5447.60 -4.20 -2.00 0.00 -1.00 0.00
5443.40 1.80 0.00 -1.00 0.00 -0.50
5445.20 0.80 -2.00 -2.00 -1.00 -1.00
5446.00 -4.80 -2.00 1.00 -1.00 0.50
5441.20 3.80 2.00 2.00 1.00 1.00
5445.00 -2.40 0.00 -1.00 0.00 -0.50
5442.60 -2.20 1.00 2.00 0.50 1.00
5440.40 0.40 2.00 -1.00 1.00 -0.50
5440.80 -1.80 2.00 0.00 1.00 0.00
5439.00 2.40 2.00 -2.00 1.00 -1.00
5441.40 1.80 2.00 -2.00 1.00 -1.00
5443.20 -1.20 2.00 1.00 1.00 0.50
5442.00 -1.40 2.00 0.00 1.00 0.00
5440.60 4.00 2.00 -2.00 1.00 -1.00
5444.60 4.80 2.00 -2.00 1.00 -1.00
5449.40 0.00 0.00 -2.00 0.00 -1.00
5449.40 1.60 0.00 -1.00 0.00 -0.50
5451.00 -2.80 -2.00 2.00 -1.00 1.00
5448.20 -1.20 0.00 1.00 0.00 0.50
5447.00 -1.80 2.00 1.00 1.00 0.50
5445.20 -2.20 2.00 -2.00 1.00 -1.00
5443.00 5.20 2.00 -1.00 1.00 -0.50
5448.20 -0.20 1.00 -1.00 0.50 -0.50
5448.00 2.40 1.00 0.00 0.50 0.00
5450.40 -2.20 0.00 1.00 0.00 0.50
5448.20 -0.40 0.00 2.00 0.00 1.00
5447.80 1.20 0.00 0.00 0.00 0.00
5449.00 3.00 -2.00 -1.00 -1.00 -0.50
5452.00 -2.00 -2.00 -2.00 -1.00 -1.00
5450.00 2.20 -2.00 1.00 -1.00 0.50
5452.20 0.40 -2.00 2.00 -1.00 1.00
5452.60 3.80 -2.00 2.00 -1.00 1.00
5456.40 -6.20 -2.00 0.00 -1.00 0.00
5450.20 -0.60 -2.00 -2.00 -1.00 -1.00
5449.60 -1.20 -2.00 -1.00 -1.00 -0.50
5448.40 -3.60 -2.00 -2.00 -1.00 -1.00
5444.80 0.80 -2.00 0.00 -1.00 0.00
5445.60 -7.20 -2.00 -2.00 -1.00 -1.00
5438.40 -6.00 0.00 0.00 0.00 0.00
5432.40 0.40 2.00 2.00 1.00 1.00
5432.80 -2.80 2.00 -1.00 1.00 -0.50
5430.00 -2.20 2.00 -2.00 1.00 -1.00
5427.80 1.60 2.00 1.00 1.00 0.50
5429.40 5.00 2.00 -1.00 1.00 -0.50
5434.40 3.20 2.00 -2.00 1.00 -1.00
5437.60 1.40 2.00 2.00 1.00 1.00
5439.00 1.60 2.00 2.00 1.00 1.00
5440.60 3.00 2.00 0.00 1.00 0.00
5443.60 8.00 2.00 -2.00 1.00 -1.00
5451.60 -3.60 1.00 2.00 0.50 1.00
5448.00 1.60 2.00 -2.00 1.00 -1.00
5449.60 -1.00 2.00 -2.00 1.00 -1.00
5448.60 -3.80 2.00 0.00 1.00 0.00
5444.80 2.60 2.00 -2.00 1.00 -1.00
5447.40 2.20 2.00 0.00 1.00 0.00
5449.60 -1.80 2.00 0.00 1.00 0.00
5447.80 5.60 2.00 0.00 1.00 0.00
5453.40 0.80 2.00 -2.00 1.00 -1.00
5454.20 -0.20 2.00 1.00 1.00 0.50
5454.00 10.80 2.00 1.00 1.00 0.50
5464.80 1.20 0.00 -1.00 0.00 -0.50
5466.00 -1.80 -2.00 2.00 -1.00 1.00
5464.20 2.60 -1.00 -1.00 -0.50 -0.50
5466.80 -1.80 -2.00 0.00 -1.00 0.00
5465.00 1.60 -2.00 0.00 -1.00 0.00
5466.60 -2.80 -2.00 -2.00 -1.00 -1.00
5463.80 -2.20 -2.00 2.00 -1.00 1.00
5461.60 5.20 0.00 -2.00 0.00 -1.00
5466.80 1.20 -2.00 -1.00 -1.00 -0.50
5468.00 -6.00 -2.00 2.00 -1.00 1.00
5462.00 -1.20 -2.00 1.00 -1.00 0.50
5460.80 1.40 -2.00 -2.00 -1.00 -1.00
5462.20 0.00 -2.00 -2.00 -1.00 -1.00
5462.20 -6.80 -2.00 1.00 -1.00 0.50
5455.40 -0.20 -2.00 2.00 -1.00 1.00
5455.20 4.40 -1.00 -1.00 -0.50 -0.50
5459.60 1.60 -2.00 2.00 -1.00 1.00
5461.20 1.40 -2.00 1.00 -1.00 0.50
5462.60 -5.00 -2.00 -2.00 -1.00 -1.00
5457.60 -0.80 -2.00 -2.00 -1.00 -1.00
5456.80 -14.60 -1.00 1.00 -0.50 0.50
5442.20 3.40 2.00 0.00 1.00 0.00
5445.60 -4.00 2.00 0.00 1.00 0.00
5441.60 5.40 2.00 -1.00 1.00 -0.50
5447.00 1.60 2.00 2.00 1.00 1.00
5448.60 3.40 2.00 -1.00 1.00 -0.50
5452.00 6.60 2.00 2.00 1.00 1.00
5458.60 2.20 2.00 -1.00 1.00 -0.50
5460.80 3.20 2.00 1.00 1.00 0.50
5464.00 1.40 0.00 0.00 0.00 0.00
5465.40 -1.80 -2.00 -2.00 -1.00 -1.00
5463.60 2.20 -1.00 0.00 -0.50 0.00
5465.80 1.00 -2.00 0.00 -1.00 0.00
5466.80 -2.00 -2.00 2.00 -1.00 1.00
5464.80 0.40 -2.00 1.00 -1.00 0.50
5465.20 -1.80 -2.00 2.00 -1.00 1.00
5463.40 0.40 -2.00 2.00 -1.00 1.00
5463.80 3.40 -2.00 -1.00 -1.00 -0.50
5467.20 0.80 -2.00 -2.00 -1.00 -1.00
5468.00 -13.00 -2.00 -2.00 -1.00 -1.00
5455.00 3.00 1.00 0.00 0.50 0.00
5458.00 -4.00 -1.00 2.00 -0.50 1.00
5454.00 -0.40 2.00 1.00 1.00 0.50
5453.60 3.20 2.00 -1.00 1.00 -0.50
5456.80 -1.20 0.00 -1.00 0.00 -0.50
5455.60 3.00 2.00 0.00 1.00 0.00
5458.60 1.80 0.00 0.00 0.00 0.00
5460.40 -6.20 -1.00 -1.00 -0.50 -0.50
5454.20 1.80 2.00 1.00 1.00 0.50
5456.00 -1.80 1.00 -1.00 0.50 -0.50
5454.20 2.00 2.00 2.00 1.00 1.00
5456.20 1.20 1.00 -2.00 0.50 -1.00
5457.40 2.40 0.00 -2.00 0.00 -1.00
5459.80 -1.40 -2.00 0.00 -1.00 0.00
5458.40 2.60 0.00 -2.00 0.00 -1.00
5461.00 -2.20 0.00 -1.00 0.00 -0.50
5458.80 2.40 2.00 2.00 1.00 1.00
5461.20 0.40 2.00 -1.00 1.00 -0.50
5461.60 -2.40 2.00 2.00 1.00 1.00
5459.20 -2.20 2.00 2.00 1.00 1.00
5457.00 -1.80 2.00 -2.00 1.00 -1.00
5455.20 -6.40 2.00 1.00 1.00 0.50
5448.80 3.20 2.00 -1.00 1.00 -0.50
5452.00 3.80 2.00 2.00 1.00 1.00
5455.80 -2.60 2.00 0.00 1.00 0.00
5453.20 1.80 2.00 1.00 1.00 0.50
5455.00 37.00 2.00 1.00 1.00 0.50
5492.00 3.40 2.00 0.00 1.00 0.00
5495.40 -5.00 2.00 -2.00 1.00 -1.00
5490.40 2.00 2.00 -1.00 1.00 -0.50
5492.40 11.60 2.00 2.00 1.00 1.00
5504.00 -1.00 2.00 -2.00 1.00 -1.00
5503.00 6.00 2.00 0.00 1.00 0.00
5509.00 -3.80 -2.00 1.00 -1.00 0.50
5505.20 1.40 0.00 1.00 0.00 0.50
5506.60 2.20 0.00 -2.00 0.00 -1.00
5508.80 3.00 -2.00 -1.00 -1.00 -0.50
5511.80 -7.60 -2.00 2.00 -1.00 1.00
5504.20 3.20 0.00 2.00 0.00 1.00
5507.40 1.40 -2.00 -2.00 -1.00 -1.00
5508.80 1.00 -2.00 -1.00 -1.00 -0.50
5509.80 2.00 -2.00 2.00 -1.00 1.00
5511.80 -14.20 -2.00 -1.00 -1.00 -0.50
5497.60 9.00 2.00 0.00 1.00 0.00
5506.60 -7.00 -2.00 2.00 -1.00 1.00
5499.60 1.00 2.00 -2.00 1.00 -1.00
5500.60 4.20 1.00 1.00 0.50 0.50
5504.80 -3.00 -2.00 1.00 -1.00 0.50
5501.80 0.80 0.00 -2.00 0.00 -1.00
5502.60 -5.40 -2.00 -2.00 -1.00 -1.00
5497.20 3.20 1.00 -1.00 0.50 -0.50
5500.40 2.60 -2.00 1.00 -1.00 0.50
5503.00 0.00 -2.00 -2.00 -1.00 -1.00
5503.00 3.60 -2.00 -1.00 -1.00 -0.50
5506.60 0.00 -2.00 -1.00 -1.00 -0.50
5506.60 -6.60 -2.00 -2.00 -1.00 -1.00
5500.00 0.20 -2.00 1.00 -1.00 0.50
5500.20 0.20 -2.00 1.00 -1.00 0.50
5500.40 0.20 -2.00 2.00 -1.00 1.00
5500.60 -0.20 -2.00 1.00 -1.00 0.50
5500.40 -6.20 -2.00 2.00 -1.00 1.00
5494.20 -7.80 -2.00 2.00 -1.00 1.00
5486.40 -7.60 2.00 0.00 1.00 0.00
5478.80 7.40 2.00 0.00 1.00 0.00
5486.20 2.20 2.00 1.00 1.00 0.50
5488.40 1.40 0.00 -1.00 0.00 -0.50
5489.80 -3.80 -1.00 1.00 -0.50 0.50
5486.00 3.00 1.00 -1.00 0.50 -0.50
5489.00 -0.80 -1.00 1.00 -0.50 0.50
5488.20 7.60 -1.00 -1.00 -0.50 -0.50
5495.80 3.40 -2.00 -2.00 -1.00 -1.00
5499.20 -5.60 -2.00 1.00 -1.00 0.50
5493.60 -3.40 -2.00 -1.00 -1.00 -0.50
5490.20 -1.60 -2.00 -1.00 -1.00 -0.50
5488.60 -2.60 -2.00 -2.00 -1.00 -1.00
5486.00 1.60 -2.00 -1.00 -1.00 -0.50
5487.60 -5.80 -2.00 1.00 -1.00 0.50
5481.80 0.80 0.00 2.00 0.00 1.00
5482.60 -3.80 0.00 1.00 0.00 0.50
5478.80 0.80 2.00 0.00 1.00 0.00
5479.60 -4.00 2.00 1.00 1.00 0.50
5475.60 2.00 2.00 1.00 1.00 0.50
5477.60 1.40 2.00 -2.00 1.00 -1.00
5479.00 4.40 2.00 1.00 1.00 0.50
5483.40 -3.40 2.00 1.00 1.00 0.50
5480.00 3.20 2.00 1.00 1.00 0.50
5483.20 -3.20 2.00 1.00 1.00 0.50
5480.00 2.60 2.00 -1.00 1.00 -0.50
5482.60 1.40 2.00 2.00 1.00 1.00
5484.00 4.20 2.00 2.00 1.00 1.00
5488.20 0.00 2.00 2.00 1.00 1.00
5488.20 0.80 2.00 2.00 1.00 1.00
5489.00 -0.20 2.00 2.00 1.00 1.00
5488.80 -2.60 2.00 2.00 1.00 1.00
5486.20 5.20 2.00 2.00 1.00 1.00
5491.40 2.60 2.00 2.00 1.00 1.00
5494.00 3.80 2.00 2.00 1.00 1.00
5497.80 -1.40 2.00 2.00 1.00 1.00
5496.40 5.40 2.00 2.00 1.00 1.00
5501.80 -1.20 2.00 2.00 1.00 1.00
5500.60 1.80 2.00 2.00 1.00 1.00
