GPU device ID: 2
newdata/50_2020.npy
0
Model(
  (rnn): GRU(10, 64, batch_first=True)
  (fc): Linear(in_features=64, out_features=5, bias=True)
)
number of parameters: 14917
Training start
epoch  1 | time used:  0.74s | train_loss 1.496 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 11 | time used:  0.13s | train_loss 1.480 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 12 | time used:  0.13s | train_loss 1.445 | valid loss 1.469 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 13 | time used:  0.12s | train_loss 1.501 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 14 | time used:  0.13s | train_loss 1.503 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 15 | time used:  0.13s | train_loss 1.441 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 16 | time used:  0.13s | train_loss 1.521 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 17 | time used:  0.14s | train_loss 1.525 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 18 | time used:  0.13s | train_loss 1.511 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 19 | time used:  0.13s | train_loss 1.447 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 20 | time used:  0.14s | train_loss 1.512 | valid loss 1.476 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
saving the model to ./save/2020_50/GRU/checkpoint20.pt
epoch 21 | time used:  0.13s | train_loss 1.447 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 22 | time used:  0.14s | train_loss 1.449 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 23 | time used:  0.13s | train_loss 1.441 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 24 | time used:  0.13s | train_loss 1.446 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 25 | time used:  0.14s | train_loss 1.460 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 26 | time used:  0.13s | train_loss 1.498 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 27 | time used:  0.13s | train_loss 1.448 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 28 | time used:  0.14s | train_loss 1.459 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 29 | time used:  0.13s | train_loss 1.520 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 30 | time used:  0.14s | train_loss 1.525 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
saving the model to ./save/2020_50/GRU/checkpoint30.pt
epoch 31 | time used:  0.14s | train_loss 1.521 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 32 | time used:  0.13s | train_loss 1.447 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 33 | time used:  0.14s | train_loss 1.441 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 34 | time used:  0.13s | train_loss 1.443 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 35 | time used:  0.13s | train_loss 1.491 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 36 | time used:  0.12s | train_loss 1.454 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 37 | time used:  0.12s | train_loss 1.451 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 38 | time used:  0.13s | train_loss 1.445 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 39 | time used:  0.13s | train_loss 1.441 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 40 | time used:  0.12s | train_loss 1.441 | valid loss 1.474 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
saving the model to ./save/2020_50/GRU/checkpoint40.pt
epoch 41 | time used:  0.12s | train_loss 1.492 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 42 | time used:  0.12s | train_loss 1.442 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 43 | time used:  0.12s | train_loss 1.505 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 44 | time used:  0.13s | train_loss 1.466 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 45 | time used:  0.13s | train_loss 1.445 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 46 | time used:  0.13s | train_loss 1.440 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 47 | time used:  0.12s | train_loss 1.522 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 48 | time used:  0.13s | train_loss 1.476 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 49 | time used:  0.12s | train_loss 1.441 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 50 | time used:  0.12s | train_loss 1.522 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
saving the model to ./save/2020_50/GRU/checkpoint50.pt
epoch 51 | time used:  0.12s | train_loss 1.471 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 52 | time used:  0.12s | train_loss 1.446 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 53 | time used:  0.13s | train_loss 1.444 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 54 | time used:  0.12s | train_loss 1.521 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 55 | time used:  0.12s | train_loss 1.463 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 56 | time used:  0.14s | train_loss 1.484 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 57 | time used:  0.14s | train_loss 1.515 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 58 | time used:  0.14s | train_loss 1.439 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 59 | time used:  0.15s | train_loss 1.499 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 60 | time used:  0.14s | train_loss 1.483 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
saving the model to ./save/2020_50/GRU/checkpoint60.pt
epoch 61 | time used:  0.14s | train_loss 1.459 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 62 | time used:  0.14s | train_loss 1.524 | valid loss 1.483 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 63 | time used:  0.14s | train_loss 1.440 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 64 | time used:  0.14s | train_loss 1.450 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 65 | time used:  0.14s | train_loss 1.445 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 66 | time used:  0.14s | train_loss 1.469 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 67 | time used:  0.14s | train_loss 1.477 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 68 | time used:  0.14s | train_loss 1.515 | valid loss 1.497 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 69 | time used:  0.14s | train_loss 1.758 | valid loss 1.845 | valid acc 0.076 | mae 1.701 | mse 3.964 | rmse 1.99 | r2 -0.33 | sharp 1.28
epoch 70 | time used:  0.14s | train_loss 1.535 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
saving the model to ./save/2020_50/GRU/checkpoint70.pt
epoch 71 | time used:  0.14s | train_loss 1.444 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 72 | time used:  0.14s | train_loss 1.441 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 73 | time used:  0.14s | train_loss 1.437 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 74 | time used:  0.14s | train_loss 1.440 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 75 | time used:  0.14s | train_loss 1.474 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 76 | time used:  0.14s | train_loss 1.481 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 77 | time used:  0.14s | train_loss 1.441 | valid loss 1.417 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 78 | time used:  0.14s | train_loss 1.524 | valid loss 1.491 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 79 | time used:  0.14s | train_loss 1.471 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 80 | time used:  0.14s | train_loss 1.449 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
saving the model to ./save/2020_50/GRU/checkpoint80.pt
epoch 81 | time used:  0.14s | train_loss 1.466 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 82 | time used:  0.14s | train_loss 1.488 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 83 | time used:  0.14s | train_loss 1.443 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 84 | time used:  0.14s | train_loss 1.437 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 85 | time used:  0.14s | train_loss 1.444 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 86 | time used:  0.14s | train_loss 1.450 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 87 | time used:  0.14s | train_loss 1.441 | valid loss 1.463 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 88 | time used:  0.14s | train_loss 1.518 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 89 | time used:  0.14s | train_loss 1.456 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 90 | time used:  0.14s | train_loss 1.444 | valid loss 1.460 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
saving the model to ./save/2020_50/GRU/checkpoint90.pt
epoch 91 | time used:  0.14s | train_loss 1.506 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch 92 | time used:  0.14s | train_loss 1.508 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 93 | time used:  0.14s | train_loss 1.444 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 94 | time used:  0.15s | train_loss 1.440 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 95 | time used:  0.15s | train_loss 1.443 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 96 | time used:  0.15s | train_loss 1.480 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 97 | time used:  0.14s | train_loss 1.440 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 98 | time used:  0.13s | train_loss 1.440 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 99 | time used:  0.12s | train_loss 1.449 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 100 | time used:  0.13s | train_loss 1.444 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
saving the model to ./save/2020_50/GRU/checkpoint100.pt
