GPU device ID: 1
newdata/50_2020.npy
0
Model(
  (conv1): Conv1d(10, 64, kernel_size=(3,), stride=(1,), padding=(1,))
  (conv2): Conv1d(64, 64, kernel_size=(3,), stride=(1,), padding=(1,))
  (pool): MaxPool1d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (fc): Linear(in_features=512, out_features=5, bias=True)
)
number of parameters: 16901
Training start
epoch  1 | time used:  1.30s | train_loss 1.538 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 11 | time used:  0.11s | train_loss 1.534 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 12 | time used:  0.11s | train_loss 1.533 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 13 | time used:  0.11s | train_loss 1.533 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 14 | time used:  0.11s | train_loss 1.535 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 15 | time used:  0.11s | train_loss 1.533 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 16 | time used:  0.11s | train_loss 1.535 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 17 | time used:  0.11s | train_loss 1.546 | valid loss 1.831 | valid acc 0.079 | mae 1.558 | mse 3.382 | rmse 1.84 | r2 -0.21 | sharp 0.29
epoch 18 | time used:  0.11s | train_loss 1.536 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 19 | time used:  0.11s | train_loss 1.540 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 20 | time used:  0.11s | train_loss 1.586 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
saving the model to ./save/2020_50/CNN/checkpoint20.pt
epoch 21 | time used:  0.11s | train_loss 1.529 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 22 | time used:  0.11s | train_loss 1.531 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 23 | time used:  0.11s | train_loss 1.678 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 24 | time used:  0.11s | train_loss 1.535 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 25 | time used:  0.12s | train_loss 1.532 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 26 | time used:  0.13s | train_loss 1.528 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 27 | time used:  0.12s | train_loss 1.529 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 28 | time used:  0.11s | train_loss 1.528 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 29 | time used:  0.11s | train_loss 1.530 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 30 | time used:  0.11s | train_loss 1.532 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
saving the model to ./save/2020_50/CNN/checkpoint30.pt
epoch 31 | time used:  0.11s | train_loss 1.536 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 32 | time used:  0.11s | train_loss 1.536 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 33 | time used:  0.11s | train_loss 1.528 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 34 | time used:  0.11s | train_loss 1.531 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 35 | time used:  0.11s | train_loss 1.535 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 36 | time used:  0.11s | train_loss 1.569 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 37 | time used:  0.11s | train_loss 1.529 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 38 | time used:  0.11s | train_loss 1.530 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 39 | time used:  0.12s | train_loss 1.535 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 40 | time used:  0.13s | train_loss 1.542 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
saving the model to ./save/2020_50/CNN/checkpoint40.pt
epoch 41 | time used:  0.12s | train_loss 1.533 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 42 | time used:  0.12s | train_loss 1.528 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 43 | time used:  0.12s | train_loss 1.534 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 44 | time used:  0.13s | train_loss 1.532 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 45 | time used:  0.13s | train_loss 1.561 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 46 | time used:  0.13s | train_loss 1.535 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 47 | time used:  0.12s | train_loss 1.534 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 48 | time used:  0.12s | train_loss 1.529 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 49 | time used:  0.12s | train_loss 1.527 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 50 | time used:  0.12s | train_loss 1.531 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
saving the model to ./save/2020_50/CNN/checkpoint50.pt
epoch 51 | time used:  0.12s | train_loss 1.537 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 52 | time used:  0.12s | train_loss 1.538 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 53 | time used:  0.12s | train_loss 1.579 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 54 | time used:  0.12s | train_loss 1.527 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 55 | time used:  0.12s | train_loss 1.532 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 56 | time used:  0.12s | train_loss 1.533 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 57 | time used:  0.12s | train_loss 1.534 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 58 | time used:  0.12s | train_loss 1.639 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 59 | time used:  0.11s | train_loss 1.537 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 60 | time used:  0.11s | train_loss 1.592 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
saving the model to ./save/2020_50/CNN/checkpoint60.pt
epoch 61 | time used:  0.11s | train_loss 1.551 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 62 | time used:  0.11s | train_loss 1.534 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 63 | time used:  0.13s | train_loss 1.529 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 64 | time used:  0.12s | train_loss 1.536 | valid loss 1.496 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 65 | time used:  0.11s | train_loss 1.636 | valid loss 1.834 | valid acc 0.165 | mae 1.508 | mse 2.853 | rmse 1.69 | r2 -0.02 | sharp 0.29
epoch 66 | time used:  0.11s | train_loss 1.581 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 67 | time used:  0.11s | train_loss 1.520 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 68 | time used:  0.11s | train_loss 1.577 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 69 | time used:  0.11s | train_loss 1.536 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 70 | time used:  0.11s | train_loss 1.531 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
saving the model to ./save/2020_50/CNN/checkpoint70.pt
epoch 71 | time used:  0.11s | train_loss 1.528 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 72 | time used:  0.11s | train_loss 1.528 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 73 | time used:  0.11s | train_loss 1.532 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 74 | time used:  0.11s | train_loss 1.526 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 75 | time used:  0.11s | train_loss 1.537 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 76 | time used:  0.11s | train_loss 1.537 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 77 | time used:  0.11s | train_loss 1.531 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 78 | time used:  0.11s | train_loss 1.536 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 79 | time used:  0.11s | train_loss 1.531 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 80 | time used:  0.11s | train_loss 1.530 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
saving the model to ./save/2020_50/CNN/checkpoint80.pt
epoch 81 | time used:  0.11s | train_loss 1.531 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 82 | time used:  0.11s | train_loss 1.532 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 83 | time used:  0.11s | train_loss 1.536 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 84 | time used:  0.11s | train_loss 1.540 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 85 | time used:  0.11s | train_loss 1.533 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 86 | time used:  0.11s | train_loss 1.535 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 87 | time used:  0.11s | train_loss 1.533 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 88 | time used:  0.11s | train_loss 1.539 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 89 | time used:  0.11s | train_loss 1.530 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 90 | time used:  0.11s | train_loss 1.532 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
saving the model to ./save/2020_50/CNN/checkpoint90.pt
epoch 91 | time used:  0.11s | train_loss 1.536 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 92 | time used:  0.11s | train_loss 1.538 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 93 | time used:  0.11s | train_loss 1.538 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 94 | time used:  0.11s | train_loss 1.532 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 95 | time used:  0.11s | train_loss 1.532 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 96 | time used:  0.11s | train_loss 1.529 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 97 | time used:  0.11s | train_loss 1.536 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 98 | time used:  0.11s | train_loss 1.534 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 99 | time used:  0.11s | train_loss 1.537 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
epoch 100 | time used:  0.11s | train_loss 1.529 | valid loss 1.553 | valid acc 0.276 | mae 2.235 | mse 7.793 | rmse 2.79 | r2 -1.79 | sharp 0.00
saving the model to ./save/2020_50/CNN/checkpoint100.pt
